time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
20251231  02:32:00,24.5,24.5,24.5,24.5,0,9.3,9.3,9.3,9.3,1,33.8,1
20251231  02:39:00,24.5,24.5,24.5,24.5,0,9.0,9.0,9.0,9.0,2,33.5,2
20251231  02:40:00,24.5,24.5,24.5,24.5,0,9.1,9.1,9.1,9.1,2,33.6,2
20251231  02:41:00,24.5,24.5,24.5,24.5,0,8.9,8.9,8.9,8.9,3,33.4,3
20251231  02:43:00,24.5,24.5,24.5,24.5,0,9.3,9.3,9.3,9.3,1,33.8,1
20251231  02:45:00,24.5,24.5,24.5,24.5,0,9.0,9.0,9.0,9.0,1,33.5,1
20251231  02:48:00,24.5,24.5,24.5,24.5,0,9.6,9.6,9.6,9.6,1,34.1,1
20251231  02:49:00,24.5,24.5,24.5,24.5,0,9.7,9.8,9.7,9.8,2,34.3,2
20251231  02:50:00,24.5,24.5,24.5,24.5,0,10.1,10.1,10.1,10.1,1,34.6,1
20251231  02:51:00,24.5,24.5,24.5,24.5,0,10.2,10.2,10.2,10.2,1,34.7,1
20251231  02:54:00,24.5,24.5,24.5,24.5,0,10.3,10.3,10.3,10.3,1,34.8,1
20251231  03:02:00,24.5,24.5,24.5,24.5,0,9.5,9.5,9.5,9.5,1,34.0,1
20251231  03:08:00,24.5,24.5,24.5,24.5,0,9.9,9.9,9.9,9.9,5,34.4,5
20251231  03:12:00,24.5,24.5,24.5,24.5,0,10.1,10.1,10.1,10.1,5,34.6,5
